code,grades,level,address,c_s_z,phone,fax,website
28348,PK - KG,PK-3/Elementary,64 Applegate Lane,"Providence, RI  02905",(401) 785-9330 ,,
28354,PK - 12,Elementary/Secondary,520 Hope Street,"Providence, RI  02906",(401) 276-4531 ,(401) 276-4015 ,www.tpcschool.org
28358,KG - 12,Secondary,100 Houghton Street,"Providence, RI  02904",(401) 751-5800 ,(401) 751-5900 ,
28362,PK - PF,PK Only,150 Hope Street,"Providence, RI  02906",(401) 521-5460 ,,
28366,PK - KG,PK-3/Elementary,225 Blackstone Street,"Providence, RI  02905",(401) 454-0312 ,,
28373,05 - 08,Elementary,525 Branch Avenue,"Providence, RI  02904",(401) 467-9777 ,(401) 785-4976 ,www.sanmiguelprov.org
28377,PK - 08,PK-3/Elementary,75 John Street,"Providence, RI  02906",(401) 274-3325 ,(401) 455-3437 ,
28380,07 - 12,Secondary,790 Broad Street,"Providence, RI  02905",(401) 467-8228 ,(401) 467-8889 ,
28382,05 - 08,Middle,979 Branch Avenue,"Providence, RI  02904",(401) 784-0021 ,(401) 784-0023 ,
28385,PK - KG,PK-3/Elementary,"CCRI, 1 Hilton Street Romm 121","Providence, RI  02905",(401) 490-9960 ,,
28387,PK - 12,Elementary/Secondary,130 Broadway,"Providence, RI  02903",(401) 606-4100 ,(401) 606-4110 ,www.bradleyschool.org
28410, - ,Other,550 Hartford Avenue           Providence Extension          ,"Providence, RI  02909-5837",(401) 272-3280 ,, 
28422, - ,Postsecondary,155 South Main Street1st Floor,"Providence, RI  02903",(401) 454-5327 ,,www.learninggate.com
28502, - ,Postsecondary,549 River Avenue,"Providence, RI  02918",(401) 865-2153 ,(401) 865-2105 ,www.providence.edu
28504, - ,Postsecondary,8 Abbott Park Place,"Providence, RI  02903",(401) 598-2473 ,(401) 598-1833 ,www.jwu.edu
28507, - ,Postsecondary,One Hilton Street,"Providence, RI  02905-2304",(401) 455-6000 ,(401) 455-6190 ,www.ccri.edu
28601,PF - 12,Elementary,42 Lexington Avenue,"Providence, RI  02907",(401) 277-2600 ,(401) 277-2603 ,www.highlandercharter.org
28606,07 - 12,Middle,158 Messer Street,"Providence, RI  02909",(401) 432-7881 ,(401) 432-7882 ,www.trinityacademyfortheperformingarts.org
28608,09 - 12,Secondary,135 Weybosset Street,"Providence, RI  02903",(401) 831-2878 ,,www.vgonline.org
28610,09 - 12,Secondary,133 Delaine Street,"Providence, RI  02909",(401) 751-0405 ,(401) 751-0020 ,
28613,KF - 01,Elementary,1000 Eddy Street,"Providence, RI  02905",(401) 533-9192 ,,www.hopeacademyri.org
28702,PK - 12,Elementary/Secondary,One Corliss Park,"Providence, RI  02908",(401) 222-3525 ,(401) 243-1025 ,www.rideaf.net
287A0,,,362 Dexter Street,"Providence, RI  02907",(401) 725-3400 ,(401) 752-3425 ,
287A2,,,325 Public Street,"Providence, RI  02903",(401) 752-2630 ,(401) 752-2632 ,
287A4,,,325 Public Street,"Providence, RI  02903",(401) 752-2650 ,(401) 752-2652 ,
28802,,,100 Niantic Avenue,"Providence, RI  02907",(401) 351-2440 ,,
28804,,,246 Prairie Avenue,"Providence, RI  02905",(401) 228-3080 ,,
28806,,,747 Broad Street,"Providence, RI  02907",(401) 461-7509 ,,
28808,,,415 Friendship Street,"Providence, RI  02907",,,
28810,,,270 Elmwood Avenue,"Providence, RI  02907",,,
28812,,,90 Ives StreetBusiness & Development Center,"Providence, RI  02906",(401) 444-0750 ,,
28814,,,58 Dartmouth Street,"Providence, RI  02905",(401) 265-4972 ,,
28816,,,PO Box 6688,"Providence, RI  02940",(401) 521-4335 ,,
28818,,,100 Houghton Street,"Providence, RI  02904",(401) 861-2080 ,(401) 454-0889 ,
28820,,,55 Hope Street,"Providence, RI  02906",(401) 331-1350 ,(401) 277-3386 ,
28822,,,42 Jillson Street,"Providence, RI  02905",(401) 461-6650 ,(401) 781-5262 ,
28824,,,PO Box 72832,"Providence, RI  02907",(401) 351-7230 ,,
28826,,,500 Greenwich Avenue,"Warwick, RI  02886",,,
28828,,,PO Box 14777,"East Providence, RI  02914",(401) 351-8700 ,,
28830,,,40 Melrose Street,"Providence, RI  02907",(401) 785-3939 ,,
28832,,,,,,,
28834,,,160 broad street,"Providence, RI  02903",,,
28836,,,529 Plainfield Street,"Providence, RI  02909",(401) 944-8300 ,,
28838,,,,,,,
28840,,,231 Amherst Street,"Providence, RI  02909",(401) 421-8062 ,,
28843,,,345 South Main Street,"Providence, RI  02903",(401) 421-0457 ,,
28845,,,20 Almy Street,"Providence, RI  02909",(401) 272-1760 ,,
28847,,,,,,,
28849,,,,,,,
28851,,,109 Bucklin Street,"Providence, RI  02907",(401) 781-4242 ,,
28853,,,401 Elmgrove Avenue,"Providence, RI  02906",(401) 861-8800 ,,
28855,,,34 Commercial Street,"Cranston, RI  02905",(401) 781-7238 ,,
28858,,,345 South Main Street,"Providence, RI  02903",(401) 331-5220 ,,
28860,,,160 Broad Street,"Providence, RI  02907",(401) 456-0100 ,,
28862,,,30 Barton Street,"Providence, RI  02909",,,
28864,,,801 Elmwood Avenue,"Providence, RI  02907",(401) 785-8485 ,,
28866,,,200 Niantic Avenue,"Providence, RI  02907",(401) 942-6325 ,,
28869,,,110 Ruggles Street,"Providence, RI  02908",(401) 455-3880 ,,
28871,,,90 Ives Street,"Providence, RI  02906",,,
28873,,,40 Melrose Street,"Providence, RI  02907",(401) 785-4912 ,,
28875,,,663 Charles Street,"Providence, RI  02904",(401) 272-3252 ,,
28877,,,401 Elmgrove Avenue,"Providence, RI  02906",,,
28879,,,209 Elmwood Ave,"Providence, RI  02907",,,
28881,,,50 D Niantic Avenue,"Providence, RI  02907",,,
28883,,,265 Oxford St,"Providence, RI  02905",(401) 785-2320 ,(401) 270-5490 ,
28885,,,PO Box 6759,"Providence, RI  02940",(401) 228-8702 ,,
28887,,,371 Pine Street,"Providence, RI  02903",,,
288A1,,,81 Parade Street,"Providence, RI  02909",(401) 272-0767 ,(401) 331-9128 ,
288A3,,,276 Prairie Avenue,"Providence, RI  02905",(401) 272-5297 ,(401) 223-7034 ,
288A5,,,49-51 Stanwood Street,"Providence, RI  02907",(401) 351-7230 ,,
288A7,,,164 Massachusetts Avenue,"Providence, RI  02907",(401) 351-7230 ,,
288A9,,,292 Massachusetts Avenue,"Providence, RI  02905",(401) 351-7230 ,,
288AB,,,300 Laurel Hill Avenue,"Providence, RI  02909",(401) 351-8844 ,,
288AD,,,544 Elmwood Avenue,"Providence, RI  02907",(401) 456-9311 ,,
288AF,,,110 Paul Street,"Providence, RI  02904",,,
288AH,,,401 Elmgrove Avenue,"Providence, RI  02906",,,
288AJ,,,11 Hawthorn Street,"Providence, RI  02907",(401) 347-8840 ,,
288AL,,,1000 Elmwood Avenue,"Providence, RI  02905",(401) 785-9450 ,,
288AN,,,Corner of Wallace St. and Cumerford St.,"Providence, RI  02909",(401) 785-9450 ,,
288AP,,,143 Prairie Avenue,"Providence, RI  02905",(401) 421-2010 ,,
288AR,,,263 Chad Brown Street,"Providence, RI  02908",(401) 941-5920 ,,
288AT,,,1 Olneyville Square,"Providence, RI  02909",(401) 225-3024 ,,
288AV,,,11 Hawthorn Street,"Providence, RI  02907",,,
288AX,,,60 Camden Avenue,"Providence, RI  02903",,,
288AZ,,,763 Westminster Street,"Providence, RI  02903",,,
288B1,,,939 Douglas Avenue,"Providence, RI  02904",(401) 274-3322 ,,
288B3,,,1279 Broad Street,"Providence, RI  02905",(401) 461-6650 ,,
288B5,,,158 Messer Street,"Providence, RI  02909",,,
288B7,,,434 Mt. Pleasant Street,"Providence, RI  02908",,,
288B9,,,Candace & Orms St.,"Providence, RI  02908",,,
288BB,,,1001 Hope Street,"Providence, RI  02906",,,
288BD,,,40 Niagara Street,"Providence, RI  02907",,,
288BF,,,59 Salmon Street,"Providence, RI  02909",,,
288BH,,,1183 Eddy Street,"Providence, RI  02905",,,
288BJ,,,265 Oxford Street,"Providence, RI  02906",(401) 785-9450 ,(401) 941-5920 ,
288BN,,,,,,,
288BP,,,674 Prairie Avenue,"Providence, RI  02905",,,
288BR,,,199 Oxford Street,"Providence, RI  02905",,,
288BT,,,188 Princeton Avenue,"Providence, RI  02907",,,
288BV,,,480 Charles Street,"Providence, RI  02904",,,
288BY,,,101 Sessions Street,"Providence, RI  02906",,,
288C1,,,144 Dodge Street,"Providence, RI  02907",(401) 751-6400 ,,
288C3,,,247 Valley Street,"Providence, RI  02909",(401) 421-7600 ,,
288C5,,,227 Dudley Street,"Providence, RI  02905",,,
288C7,,,Smith Street,"Providence, RI  02908",,,
288C9,,,Wickenden Street,"Providence, RI  02906",,,
288CB,,,342 Hope Street,"Providence, RI  02906",(401) 785-9450 ,(401) 941-5920 ,
288CD,,,50 D Niantic Avenue,"Providence, RI  02907",,,
288CF,,,199 Oxford street,"Providence, RI  02905",,,
288CH,,,1000 Eddy Street,"Providence, RI  02905",,,
288CJ,,,371 Pine Street,"Providence, RI  02903",,,
288CL,,,20 Miner Street,"Providence, RI  00290",(401) 421-6300 ,,
288CN,,,1290 Westminster Street,"Providence, RI  02909",(401) 688-0682 ,,
288CP,,,770 Broad Street,"Providence, RI  02907",(401) 327-3110 ,,
288CR,,,50 Laurel Hill Avenue,"Providence, RI  02909",(401) 709-6417 ,,
288CT,,,50 Raymond Street,"Providence, RI  02908",,,
288CV,,,770 Broad Street,"Providence, RI  02907",,,
288CX,,,270 Elmwood Avenue,"Providence, RI  02907",(401) 274-8811 ,,
288CZ,,,675 Plainfield Street,"Providence, RI  02909",,,
288D1,,,421 Hope Street,"Providence, RI  02906",(401) 456-0100 ,,
288D3,,,7 Burgess Street,"Providence, RI  02903",(401) 421-6993 ,,
288D5,,,Elmwood Ave/Across RW Park,"Providence, RI  02907",,,
288D7,,,199 Oxford Street,"Providence, RI  02905",,,
288D9,,,Glenham & Taylor St.,"Providence, RI  02905",,,
288DB,,,11 West Drive,"Providence, RI  02904",,,
288DD,,,807 Broad Street,"Providence, RI  02907",,,
288DF,,,315 Academy Avenu,"Providence, RI  02908",,,
288DH,,,200 Hawkins Street,"Providence, RI  02904",,,
288DJ,,,674 Prairie Avenue,"Providence, RI  02907",(508) 954-5649 ,,
288DL,,,1 Corliss Park,"Providence, RI  02940",(401) 228-8702 ,,
288DN,,,136 Knight Street,"Providence, RI  02909",,,
288DP,,,588 Manton Avenue,"Providence, RI  02909",,,
288DR,,,244 Washington Avenue,"Providence, RI  02909",,,
288DT,,,70 Fricker Street,"Providence, RI  02903",,,
288DV,,,75 Carpenter Street,"Providence, RI  02907",(401) 473-9409 ,,
288DX,,,7 Thomas P. Whitten Way,"Providence, RI  02903",,,
288DZ,,,,,,,
288E2,,,Ninth Street,"Providence, RI  02906",,,
288E4,,,675 Plainfield Street,"Providence, RI  02909",,,
288E7,,,173 Porter Street,"Providence, RI  ",(401) 941-8337 ,,
288E9,,,109 Bucklin Street,"Providence, RI  02907",(401) 781-4242 ,,
288EB,,,31 Daboll Street,"Providence, RI  02909",(401) 441-8575 ,,
288ED,,,133 Delaine Street,"Providence, RI  02909",,,
288EF,,,85 Atlantic Ave,"Providence, RI  02907",,,
288EH,,,438 Hope Street,"Providence, RI  02906",,,
288EJ,,,50 Camden Avenue,"Providence, RI  02908",(401) 274-3240 ,,
288EL,,,1000 Elmwood Avenue,"Providence, RI  02905",(401) 785-9450 ,,
288F1,,,173 Porter Street,"Providence, RI  ",(401) 941-8337 ,,
288F3,,,529 Plainfield Street,"Providence, RI  02909",(401) 944-8300 ,,
288F5,,,110 Ruggles Street,"Providence, RI  02908",(401) 455-3880 ,,
288F7,,,1 Louisa Street,"Providence, RI  02905",(401) 444-0766 ,,
288F9,,,221 Ocean Street,"Providence, RI  02905",(401) 461-4124 ,,
288G1,,,674 Prairie Avenue,"Providence, RI  02905",(401) 455-8812 ,,
288G3,,,Stansbury Street,"Providence, RI  02904",,,
288G5,,,109 Bucklin & Dexter Streets,"Providence, RI  02907",,,
288G7,,,109 Bucklin Street,"Providence, RI  02907",(401) 781-4242 ,,
288G9,,,262 Academy Avenue,"Providence, RI  02908",(401) 351-2347 ,,
288H1,,,60 Kossuth Street,"Providence, RI  02908",(401) 421-0457 ,,
288H3,,,33 Atwood Street,"Providence, RI  02909",(401) 444-0760 ,,
288H5,,,40 Pennsylvania Avenue,"Providence, RI  02905",(401) 785-1760 ,,
288H7,,,1665 Westminster Street,"Providence, RI  02909",(401) 456-9363 ,,
288H9,,,234 Daboll Street,"Providence, RI  02907",(401) 447-4543 ,,
288I1,,,100 Niagra Street,"Providence, RI  02907",(401) 258-3262 ,,
288I3,,,50 Laurel Hill Avenue,"Providence, RI  02909",(401) 751-6400 ,,
288I5,,,200 Gordon Avenue,"Providence, RI  02905",(401) 461-2441 ,,
288I7,,,47 Woodbury Street,"Providence, RI  02906",(401) 272-8174 ,,
288I9,,,157 Sackett Street,"Providence, RI  02907",(401) 965-8453 ,,
288J1,,,438 Hope Street,"Providence, RI  02906",,,
288J3,,,905 Westminster Street70 Fricker Street,"Providence, RI  02903",(401) 274-3240 ,,
288J6,,,674 Prairie Avenue,"Providence, RI  02905",(401) 455-8812 ,,
288J8,,,90 Ives Street,"Providence, RI  02903",(401) 444-0758 ,,
288K0,,,209 Broadway,"Providence, RI  02909",(401) 351-8059 ,,
288K2,,,163 Bellevue Avenue,"Providence, RI  02907",(401) 274-9050 ,,
288K4,,,371 Pine Street,"Providence, RI  02903",(401) 456-0100 ,,
288K6,,,20 Syracuse Street,"Providence, RI  02909",(401) 274-1491 ,,
288K9,,,206 Elmwood Avenue,"Providence, RI  02907",(401) 331-0045 ,,
288L1,,,421 Hope Street,"Providence, RI  02906",(401) 521-7252 ,,
288L3,,,325 Public Street,"Providence, RI  02905",(401) 752-2604 ,(401) 752-2602 ,
288L5,,,263 Chad Brown Street,"Providence, RI  02908",(401) 751-6400 ,,
288L7,,,528 North Main Street,"Providence, RI  02904",(401) 274-2500 ,(401) 276-4034 ,
288L9,,,529 Plainfield Street,"Providence, RI  02909",,,
288M1,,,162 Metcalf Street,"Providence, RI  02904",(401) 272-5013 ,,
288M3,,,231 Amherst Street,"Providence, RI  02909",(401) 421-8062 ,,
288M5,,,386 Broad Street,"Providence, RI  02907",(401) 781-7235 ,,
288M7,,,350 Point Street,"Providence, RI  02905",(401) 351-2424 ,,
288M9,,,77 Ralph Street,"Providence, RI  02909",(401) 943-6338 ,,
288N1,,,50C Niantic Avenue,"Providence, RI  02907",(401) 275-0925 ,,
288N3,,,138 Whitmarsh Street,"Providence, RI  ",(401) 461-4397 ,,
288N5,,,40 Melrose Street,"Providence, RI  02907",(401) 785-4912 ,,
288N7,,,145 Oakland Avenue,"Providence, RI  02908",(401) 454-0988 ,,
288N9,,,Corner Camp & Cypress Street,"Providence, RI  ",,,
288O1,,,Valley Street (near Atwells),"Providence, RI  ",,,
288O3,,,Ellery Street,"Providence,   ",,,
288O5,,,Corner of Regent St & River,"Providence, RI  ",,,
288O7,,,Ridge Street,"Providence, RI  ",,,
288O9,,,1290 Westminster Street,"Providence, RI  02909",(401) 276-0220 ,,
288P1,,,71 Bridgham Street #8-12,"Providence, RI  02907",(401) 282-0511 ,,
288P3,,,50 Prairie Avenue,"Providence, RI  02905",(401) 383-7719 ,,
288P5,,,370 Hartford Avenue,"Providence, RI  02909",(401) 456-9352 ,(401) 453-8634 ,
288P7,,,152 Springfield Street,"Providence, ri  02909",(401) 278-0557 ,(401) 278-0564 ,
288P9,,,455 Wickenden Street,"Providence, RI  02903",(401) 456-9377 ,,
288Q1,,,708 Hope Street,"Providence, RI  02906",(401) 456-8110 ,,
288Q3,,,60 Kossuth Street,"Providence, RI  02909",(401) 331-1013 ,,
288Q5,,,231 Amherst Street,"Providence, RI  02909",,,
288Q7,,,401 Elmgrove Avenue,"Providence, RI  02906",,,
288Q9,,,33 Atwood Street,"Providence, RI  02909",,,
288R1,,,64 Dartmouth Avenue,"Providence, RI  02907",(401) 454-1715 ,,
288R3,,,179 Pearl Street,"Providence, RI  02907",(401) 785-8484 ,,
288R5,,,438 Hope Street,"Providence, RI  02906",(401) 273-2390 ,,
288R7,,,1 Thomas Olney Common,"Providence, RI  02904",(401) 831-1794 ,,
288R9,,,75 Chester Avenue,"Providence, RI  02907",(401) 339-7886 ,,
288S1,,,99 Rugby Street,"Providence, RI  02905",(401) 490-2031 ,,
288S3,,,109 Bucklin Street,"Providence, RI  ",(401) 419-3609 ,,
288S5,,,Corner Flower & Whalen,"Providence, RI  ",,,
288S7,,,425 Hope Street,"Providence, RI  ",(401) 421-7740 ,,
288S9,,,297 Elmwood Avenue,"Providence, RI  02907",(401) 268-8287 ,,
288T1,,,15 Clarkson Street,"Providence, RI  02908",(401) 383-9958 ,(401) 490-6353 ,
288T3,,,324 Hope Street,"Providence, RI  02906",(401) 255-0932 ,,
288T5,,,50 Laurel Hill Avenue,"Providence, RI  02909",(401) 709-6408 ,,
288T7,,,Prairie Avenue,"Providence, RI  02907",(401) 751-2690 ,,
288T9,,,69 Gordon Avenue,"Providence, RI  02908",(401) 265-3196 ,,
288U1,,,20 Philman Street,"Providence, RI  02908",(401) 641-0065 ,,
288U3,,,214 Prairie Avenue,"Providence, RI  02905",(401) 351-5000 X162,,
288U5,,,50 Aleppo Street,"Providence, RI  ",(401) 965-1735 ,,
288U7,,,155 Niagra,"Providence, RI  ",(401) 455-8807 ,,
288U9,,,9-11 Weyland Street335 Hartford Avenue,"Providence, RI  02909",(401) 429-8860 ,,
288V1,,,133 Delaine StreetNickerson House,"Providence, RI  02909",(401) 575-0397 ,,
288V3,,,Corner of Session St. & Taber St.,"Providence, RI  02906",(401) 421-7706 X323,,
288V5,,,1396 Broad Street,"Providence, RI  02905",,,
288V7,,,50 Laurel hill Avenue,"Providence, RI  02909",(401) 444-0750 ,(401) 444-0750 ,
288V9,,,60 Camden Avenue,"Providence, RI  02908",(401) 489-1073 ,,
288W1,,,364 Prairie Avenue,"Providence, RI  02905",(401) 440-9930 ,,
288W3,,,675 Prairie Avenue,"Providence, RI  02905",(401) 274-8811 ,,
288W5,,,421 Elmwood Avenue,"Providence, RI  02907",(401) 467-0111 EXT111,,
288W7,,,160 Broad Street,"Providence, RI  02903",,,
288W9,,,663 Charles Street,"Providence, RI  02904",(401) 272-3252 ,,
288Y0,,,663 Charles Street,"Providence, RI  02904",,,
288Y2,,,795 Eddy Street,"Providence, RI  02905",,,
288Y4,,,184 Hope St.,"Providence, RI  02912",(401) 863-1677 ,,
288Y6,,,364 Prairie Avenue,"Providence, RI  02905",(401) 270-0844 ,,
288Y8,,,674 Westminster St ,"Providence, RI  02903",(401) 575-0397 ,,
288Z0,,,182 Thurbers Avenue,"Providence, RI  02905",(401) 490-9599 ,,
288Z2,,,70 Fricker St.,"Providence, RI  02903",(401) 421-7740 ,,
288Z4,,,25 India St. ,"Providence, RI  02903",(401) 421-7740 ,,
288Z6,,,600 Mount Pleasant Avenue,"Providence, RI  02908",(401) 421-7740 ,,
288Z8,,,101 Sessions St.,"Providence, RI  02906",(401) 274-8811 ,,
28900,PK - 12,Other,,,,,
28902, - ,Other,,,,,
28905,PK - PF,Other,,,,,
28907,PK - 12,Other,109 Bucklin Street            ,"Providence, RI       ",,, 
28909, - ,Ungraded,,,,,
28912,,,,,,,
28914,09 - 12,Other,20 Eighth Street,"Providence, RI  02906",(401) 351-7230 ,,
28916,KG - 12,Other,100 Houghton Street,"Providence, RI  02904",(401) 861-2080 ,,http://www.goodwillri.org/
28918, - ,Other,75 Carpenter Street,"Providence, RI  02903",,,
28920,09 - 12,Secondary,600 Mount Pleasant Avenue,"Providence, RI  02908",(401) 456-8072 ,(401) 456-8150 ,
28922, - ,Other,1 Hilton Street,"Providence, RI  02905",(401) 455-6059 ,,
28924, - ,Other,160 Broad Street,"Providence, RI  02903",(401) 277-4311 ,,
28926, - ,Other,P.O Box 29405,"Providence, RI  02909",(401) 421-3181 ,,
28929, - ,Other,645 Elmwood Ave,"Providence, RI  02907",(401) 784-8637 ,,
28931, - ,Other,144 Dodge Street,"Providence, RI  02907",(401) 709-6417 ,,
28933, - ,Other,"600 Mt Pleasant Ave, Bldg 8 Rhode Island College","Providence, RI  02908",(401) 456-8698 ,,
28935, - ,Other,807 Broad Street Suite 113,"Providence, RI  02907",(401) 941-3494 ,,
28937,06 - 12,Other,7 Thomas P Whitten Way,"Providence, RI  02903",,,
28939,PK - PF,Other,943 Chalkstone Avenue,"Providence, RI  02908",(401) 331-3999 ,,
28997,PK - 12,Other,182 Thurbers Avenue,"Providence, RI  02905",(404) 456-1718 ,(401) 456-0662 ,www.providenceschools.org
28999,PK - 12,Other,,,,,
30104,09 - 12,Secondary,94 Trimtown Road,"North Scituate, RI  02857",(401) 647-4120 ,(401) 647-4126 ,scituatehighschool.com
30106,KF - 05,Elementary,46 Institute Lane,"North Scituate, RI  02857",(401) 647-4110 ,(401) 647-4112 ,www.scituateri.net/nses
30802,,,51 Main StreetPO Box 479,"Hope, RI  02831",,,
308A0,,,1043 Snake Hill Road,"North Scituate, RI  02857",(401) 568-4350 ,,
30900,PK - 12,Other,,,,,
30997,PK - 12,Other,,,,,
30999,PK - 12,Other,,,,,
31103,KF - 05,Elementary,562 Putnam Pike,"Greenville, RI  02828",(401) 949-2059 ,(401) 949-7385 ,winsor.smithfield-ps.org/
31105,PK - 05,PK-3/Elementary,100 Pleasant View Avenue,"Smithfield, RI  02917",(401) 949-2058 ,(401) 949-5773 ,ames.smithfield-ps.org/
31108,KF - 05,Elementary,11 Limerock Road,"Smithfield, RI  02917",(401) 231-6652 ,(401) 231-1141 ,rles.smithfield-ps.org/
31190,PK - 12,Other,49 Farnum Pike,"Esmond, RI  02917",(401) 231-6606 ,(401) 232-0870 ,www.smithfield-ps.org
31301,PK - KF,PK-3/Elementary,440 George Washington Highway,"Smithfield, RI  02917",(401) 233-2500 ,,
31320,PK - KG,PK-3/Elementary,311 Stillwater Road           ,"Smithfield, RI  02917",(401) 232-7177 ,, 
31323,PK - PK,PK Only,One Church Street,"Smithfield, RI  02828",(401) 949-3051 ,, 
31330,07 - 12,Secondary,915 Douglas Pike,"Smithfield, RI  02917-1878",(401) 232-7061 ,(401) 233-9267 ,
31501, - ,Postsecondary,1150 Douglas Pike,"Smithfield, RI  02917",(401) 232-6008 ,(401) 232-6709 ,www.bryant.edu
31802,,,10 Indian Run Trail,"Smithfield, RI  02817",,,
318A0,,,445 Farnum Pike,"Smithfield, RI  02917",(401) 232-3682 ,(401) 232-0768 ,
318A2,,,Deerfield Drive,"Greenville, RI  02828",(401) 949-2480 ,,
31900,PK - 12,Other,,,,,
31990,PK - 12,Other,,,,,
31998,PK - 12,Other,,,,,
32,PK - 12,,307 Curtis Corner Road ,"Wakefield, RI  02879",(401) 360-1300 ,(401) 360-1330 ,www.skschools.net
32105,PK - PF,PK Only,1157 South Road,"Wakefield, RI  02879",(401) 360-1200 ,(401) 360-1330 ,www.skschools.net
32108,09 - 12,Secondary,215 Columbia Street,"Wakefield, RI  02879",(401) 360-1000 ,(401) 360-1464 ,hs.skschools.net/
32112,KF - 04,Elementary,3119 Ministerial Road,"West Kingston, RI  02892",(401) 360-1130 ,(401) 360-1131 ,wk.skschools.net/
32114,05 - 06,Elementary/Middle,351 Broad Rock Road,"Wakefield, RI  02879",(401) 782-6223 ,(401) 782-6282 ,br.skschools.net/
32202,09 - 12,Secondary,4640 Tower Hill Road,"Wakefield, RI  02879",(401) 789-9262 ,(401) 782-2262 ,www.theproutschool.org
32301,PK - 12,PK-12,4781 Tower Hill Road,"Wakefield, RI  02879",(401) 284-1040 ,(401) 284-1045 ,
32303,01 - 12,Elementary/Secondary,1157 South Rd.,"Wakefield, RI  02879",(401) 363-9616 ,,www.hoydenacademy.com
32323,PK - KG,PK-3/Elementary,10 Lower College Road,"Kingston, RI  02881",(401) 874-2758 ,,
32329,PK - PK,PK Only,981 Kingstown Road,"Peace Dale, RI  02883",(401) 789-3830 ,,
32340,09 - 12,Secondary,333 Ocean Rd,"Narragansett, RI  02882",(401) 226-2352 ,,
32501, - ,Postsecondary,Green Hall35 Campus Avenue,"Kingston, RI  02881",(401) 874-1000 ,(401) 874-7149 ,
32801,,,61 Main Street,"Wakefield, RI  02879",(401) 782-3990 ,(401) 782-3999 ,
32831,,,1935 Kingstown Road,"South Kingstown, RI  02879",(401) 789-3016 ,,
32833,,,165 Broad Rock Road           PO Box 3728                   ,"Peace Dale, RI  02883",,, 
32835,,,12 High Street,"Wakefield, RI  02879",,,
32837,,,4780 Tower Hill Road,"Wakefield, RI  02879",(401) 782-6200 ,,
328A1,,,61 Main Street,"Wakefield, RI  02879",(401) 782-3995 ,,
328A3,,,"Ministerial Road, Rte. 110","West Kingston, RI  02892",(401) 782-0345 ,,
328A5,,,1065 Wordens Pond Road,"Wakefield, RI  02879",(401) 783-7000 ,,
328A7,,,12 High Street,"Wakefield, RI  02879",,,
328A9,,,301 Sowams Road,"Barrington, RI  02806",,,
328B1,,,2299 Tower Hill Road,"Saunderstown, RI  02874",,,
328B3,,,165 Broadrock Road,"Peace Dale, RI  02879",(401) 783-3900 ,,
32900,PK - 12,Other,,,,,
32902, - ,Other,,,,,
32904, - ,Other,,,,,
32906,PK - PF,Other,,,,,
32908,12 - 12,Other,,,,,
32910,PK - PF,Other,1935 Kingstown Rd.,"Wakefield, RI  02879",(401) 789-2244 ,,
32912,12 - 12,Other,25 West Independence Way,"Kingston, RI  02881",(401) 284-1559 ,(401) 360-1210 ,hs.skschools.net/Teachers/ITA/
32914,PK - KF,PK-3,20 Preservation way,"South Kingstown, RI  02879",(401) 789-0300 ,,
32997,PK - 12,Other,,,,,
32999,PK - 12,Other,,,,,
33105,PK - 04,Elementary,278 North Brayton Road,"Tiverton, RI  02878",(401) 624-8467 ,(401) 624-8468 ,ranger.tivertonschools.org/
33107,PK - 04,Elementary,242 Main Road,"Tiverton, RI  02878",(401) 624-6654 ,(401) 624-6655 ,pocasset.tivertonschools.org/
33110,05 - 08,Middle,10 Quintal Drive,"Tiverton, RI  02878",(401) 624-6668 ,(401) 624-6669 ,tms.tivertonschools.org/
338A0,,,117 Neck Road,"Tiverton, RI  02878",(401) 624-4736 ,,
33900,PK - 12,Other,,,,,
33902,PK - PF,PK Only,752 East Rd,"Tiverton, RI  02878",(401) 624-6327 ,(401) 624-2970 ,
33996,PK - KF,Other,,,,,
33998,PK - 12,Other,,,,,
35,PK - 12,,34 Warwick Lake Avenue ,"Warwick, RI  02889",(401) 734-3100 ,(401) 734-3105 ,www.warwickschools.org
35041, - ,Other,,,,,
35101,KF - 06,PK-3/Elementary,266 Norwood Avenue,"Warwick, RI  02888",(401) 734-3525 ,(401) 734-3528 ,www.warwickschools.org/Norwood/default.htm
35114,KG - 06,Elementary,93 Sharon Street,"Warwick, RI  02886",(401) 734-3290 ,(401) 734-3293 ,www.warwickschools.org/greenwood/default.htm
35119,KF - 06,Elementary,1 Columbia Avenue,"Warwick, RI  02888",(401) 734-3180 ,(401) 734-3183 ,www.warwickschools.org/wyman/default.htm
35121,KF - 06,PK-3/Elementary,70 Nausauket Road,"Warwick, RI  02886",(401) 734-3470 ,(401) 734-3473 ,www.warwickschools.org/robertson/default.htm
35124,KG - 06,Elementary,61 Hoxsie Avenue,"Warwick, RI  02889",(401) 734-3455 ,(401) 734-3458 ,www.warwickschools.org/holden/default.htm
35127,KG - 06,Elementary,120 Killey Avenue,"Warwick, RI  02889",(401) 734-3565 ,(401) 734-3568 ,www.warwickschools.org/sherman/default.htm
35129,PK - 06,PK-3/Elementary,50 Child Lane,"Warwick, RI  02886",(401) 734-3575 ,(401) 734-3578 ,www.warwickschools.org/wickes/default.htm
